Date,"Ångest","Depression","Sömnlöshet","Ensamhet","Stress"
2019-06-01,69,106,60,7,43
2019-06-02,104,133,77,5,55
2019-06-03,116,153,89,7,69
2019-06-04,71,141,79,3,63
2019-06-05,77,109,66,10,55
2019-06-06,87,94,70,8,36
2019-06-07,75,98,79,11,30
2019-06-08,99,106,59,4,45
2019-06-09,96,111,83,6,43
2019-06-10,71,98,88,7,51
2019-06-11,99,105,103,6,49
2019-06-12,80,89,108,7,47
2019-06-13,84,94,98,6,61
2019-06-14,87,89,80,4,34
2019-06-15,74,97,79,5,27
2019-06-16,96,95,91,2,45
2019-06-17,78,74,89,6,48
2019-06-18,93,86,78,6,54
2019-06-19,76,80,77,8,48
2019-06-20,87,96,89,7,25
2019-06-21,54,76,59,3,26
2019-06-22,75,81,73,11,26
2019-06-23,83,79,56,7,24
2019-06-24,101,78,79,3,47
2019-06-25,79,107,92,2,51
2019-06-26,86,90,85,4,54
2019-06-27,66,76,72,10,40
2019-06-28,66,85,72,7,30
2019-06-29,56,88,80,14,30
2019-06-30,60,74,79,11,28
2019-07-01,87,81,95,7,27
2019-07-02,88,73,122,10,29
2019-07-03,94,96,90,7,37
2019-07-04,84,115,86,11,30
2019-07-05,64,75,56,8,37
2019-07-06,85,73,101,5,32
2019-07-07,76,93,94,13,35
2019-07-08,89,179,97,11,33
2019-07-09,88,117,83,8,43
2019-07-10,60,71,74,10,36
2019-07-11,66,88,87,16,31
2019-07-12,89,88,73,11,40
2019-07-13,104,90,86,7,28
2019-07-14,111,108,77,12,26
2019-07-15,101,105,99,8,38
2019-07-16,88,80,74,9,41
2019-07-17,90,90,70,14,31
2019-07-18,113,75,70,8,33
2019-07-19,81,92,61,11,26
2019-07-20,74,79,89,7,23
2019-07-21,87,85,86,11,38
2019-07-22,86,96,126,12,29
2019-07-23,83,94,87,6,37
2019-07-24,89,76,91,3,31
2019-07-25,75,71,92,10,38
2019-07-26,69,70,69,8,33
2019-07-27,80,58,55,15,27
2019-07-28,100,60,80,10,32
2019-07-29,115,87,71,7,31
2019-07-30,89,98,95,12,33
2019-07-31,84,87,95,8,31
2019-08-01,78,97,75,2,25
2019-08-02,93,84,63,7,27
2019-08-03,86,105,73,5,21
2019-08-04,119,80,116,5,25
2019-08-05,92,68,94,10,35
2019-08-06,101,100,111,7,57
2019-08-07,109,98,67,4,33
2019-08-08,77,90,85,11,40
2019-08-09,109,98,115,8,32
2019-08-10,85,106,112,10,28
2019-08-11,117,87,159,13,36
2019-08-12,107,98,128,12,40
2019-08-13,136,69,124,11,44
2019-08-14,98,97,98,12,56
2019-08-15,91,90,105,6,44
2019-08-16,101,99,86,6,56
2019-08-17,100,78,76,8,34
2019-08-18,98,103,100,7,52
2019-08-19,121,110,114,7,47
2019-08-20,103,109,101,12,47
2019-08-21,86,106,93,10,59
2019-08-22,124,118,77,6,52
2019-08-23,84,84,73,3,57
2019-08-24,58,87,86,9,30
2019-08-25,86,88,83,6,44
2019-08-26,103,100,83,7,59
2019-08-27,89,118,99,8,52
2019-08-28,100,107,76,7,67
2019-08-29,81,108,70,10,59
2019-08-30,78,108,70,7,54
2019-08-31,86,73,54,5,51
2019-09-01,111,90,78,12,58
2019-09-02,110,91,86,11,61
2019-09-03,91,105,81,8,58
2019-09-04,93,126,103,7,77
2019-09-05,122,103,89,13,61
2019-09-06,77,94,51,8,43
2019-09-07,99,82,113,11,48
2019-09-08,68,109,111,4,51
2019-09-09,109,112,97,4,61
2019-09-10,112,119,87,10,82
2019-09-11,113,118,76,9,69
2019-09-12,96,128,93,7,62
2019-09-13,91,87,64,4,65
2019-09-14,80,88,59,4,31
2019-09-15,127,118,96,8,72
2019-09-16,115,129,103,7,60
2019-09-17,94,122,91,9,61
2019-09-18,90,112,103,13,70
2019-09-19,92,108,91,5,53
2019-09-20,95,112,76,11,43
2019-09-21,98,87,56,17,62
2019-09-22,91,126,62,12,49
2019-09-23,126,157,91,4,84
2019-09-24,100,153,77,10,80
2019-09-25,74,149,90,5,86
2019-09-26,102,107,87,6,69
2019-09-27,93,107,52,11,63
2019-09-28,64,87,49,5,50
2019-09-29,100,109,56,9,46
2019-09-30,105,111,81,9,65
2019-10-01,109,124,93,9,56
2019-10-02,98,126,85,6,62
2019-10-03,107,104,98,4,71
2019-10-04,96,103,115,4,54
2019-10-05,58,113,79,6,35
2019-10-06,123,85,82,8,54
2019-10-07,105,132,89,6,70
2019-10-08,88,117,101,12,75
2019-10-09,106,134,93,7,76
2019-10-10,86,141,88,11,80
2019-10-11,97,130,79,11,50
2019-10-12,96,65,69,6,43
2019-10-13,112,121,99,12,64
2019-10-14,99,144,87,5,61
2019-10-15,79,124,106,14,53
2019-10-16,116,143,85,5,68
2019-10-17,86,121,147,9,87
2019-10-18,81,138,96,10,67
2019-10-19,64,116,95,10,54
2019-10-20,72,132,89,6,57
2019-10-21,81,158,124,15,66
2019-10-22,106,115,147,5,72
2019-10-23,97,117,119,8,78
2019-10-24,68,129,122,10,94
2019-10-25,78,94,85,9,63
2019-10-26,85,80,59,5,53
2019-10-27,123,98,60,12,54
2019-10-28,87,118,78,11,58
2019-10-29,91,99,67,11,58
2019-10-30,78,77,74,4,65
2019-10-31,76,77,74,3,36
2019-11-01,118,86,76,6,41
2019-11-02,72,84,56,7,47
2019-11-03,102,112,71,10,53
2019-11-04,108,137,135,10,97
2019-11-05,103,136,96,8,67
2019-11-06,108,139,97,13,62
2019-11-07,85,142,94,7,76
2019-11-08,71,123,90,11,58
2019-11-09,86,128,67,5,50
2019-11-10,106,111,78,14,48
2019-11-11,125,120,99,6,62
2019-11-12,101,124,117,6,90
2019-11-13,100,116,103,4,93
2019-11-14,100,115,87,9,61
2019-11-15,72,112,76,8,60
2019-11-16,97,84,77,6,39
2019-11-17,113,133,99,7,46
2019-11-18,120,145,105,13,72
2019-11-19,90,147,136,8,74
2019-11-20,83,136,92,6,71
2019-11-21,69,97,117,8,65
2019-11-22,68,96,104,7,45
2019-11-23,70,98,76,18,67
2019-11-24,90,105,100,11,48
2019-11-25,118,111,138,9,69
2019-11-26,96,102,114,15,58
2019-11-27,123,136,137,11,73
2019-11-28,111,134,118,17,63
2019-11-29,71,96,75,10,52
2019-11-30,86,51,65,4,48
2019-12-01,118,77,133,11,63
2019-12-02,91,137,164,10,75
2019-12-03,86,111,114,6,76
2019-12-04,120,133,97,9,91
2019-12-05,87,109,130,11,72
2019-12-06,87,115,82,11,48
2019-12-07,75,80,82,9,45
2019-12-08,86,99,88,7,64
2019-12-09,102,121,137,5,67
2019-12-10,104,116,113,13,60
2019-12-11,87,125,76,13,66
2019-12-12,95,122,128,6,45
2019-12-13,65,110,86,6,50
2019-12-14,68,74,51,12,52
2019-12-15,72,97,82,9,44
2019-12-16,112,95,293,13,76
2019-12-17,82,104,1793,8,67
2019-12-18,69,92,530,12,59
2019-12-19,82,93,242,10,47
2019-12-20,64,87,147,6,48
2019-12-21,74,75,156,4,29
2019-12-22,64,75,164,13,24
2019-12-23,45,92,157,6,19
2019-12-24,61,84,91,7,19
2019-12-25,55,85,108,8,27
2019-12-26,70,84,120,10,34
2019-12-27,70,68,119,6,27
2019-12-28,78,78,134,8,38
2019-12-29,71,66,138,6,27
2019-12-30,84,83,137,4,43
2019-12-31,63,53,119,7,25
2020-01-01,107,86,95,14,38
2020-01-02,124,88,145,4,46
2020-01-03,88,122,168,9,38
2020-01-04,85,108,151,8,39
2020-01-05,113,95,140,9,45
2020-01-06,111,96,172,10,65
2020-01-07,88,103,214,8,38
2020-01-08,92,99,207,8,54
2020-01-09,78,102,231,12,49
2020-01-10,97,96,165,9,38
2020-01-11,72,66,112,8,28
2020-01-12,89,104,119,9,46
2020-01-13,114,91,201,14,64
2020-01-14,95,118,173,6,40
2020-01-15,117,120,184,17,56
2020-01-16,89,126,123,8,68
2020-01-17,76,96,103,17,64
2020-01-18,88,89,93,9,33
2020-01-19,72,84,101,12,43
2020-01-20,105,100,133,6,45
2020-01-21,86,108,134,14,63
2020-01-22,72,100,130,8,61
2020-01-23,81,114,101,6,61
2020-01-24,88,113,107,16,43
2020-01-25,62,98,69,7,33
2020-01-26,67,83,94,9,40
2020-01-27,87,132,110,10,73
2020-01-28,95,111,119,10,82
2020-01-29,78,121,87,6,66
2020-01-30,83,112,105,7,54
2020-01-31,62,78,110,5,44
2020-02-01,69,74,77,5,26
2020-02-02,78,97,83,7,42
2020-02-03,72,102,99,8,58
2020-02-04,71,104,89,6,50
2020-02-05,59,81,67,8,69
2020-02-06,59,117,93,7,42
2020-02-07,46,81,63,6,41
2020-02-08,34,90,65,13,37
2020-02-09,67,95,76,10,54
2020-02-10,60,93,79,6,55
2020-02-11,69,90,102,8,83
2020-02-12,119,521,103,8,187
2020-02-13,65,86,73,11,50
2020-02-14,54,85,47,7,29
2020-02-15,58,88,44,11,33
2020-02-16,54,86,60,12,40
2020-02-17,74,107,67,10,47
2020-02-18,73,79,69,5,47
2020-02-19,76,86,60,6,54
2020-02-20,50,72,49,4,57
2020-02-21,57,67,57,6,47
2020-02-22,50,78,75,10,33
2020-02-23,72,85,65,3,40
2020-02-24,82,119,97,6,53
2020-02-25,72,90,72,7,48
2020-02-26,99,115,62,9,40
2020-02-27,78,96,82,2,34
2020-02-28,46,77,53,3,35
2020-02-29,53,71,54,5,29
2020-03-01,76,101,89,12,35
2020-03-02,88,94,77,12,49
2020-03-03,79,77,76,10,65
2020-03-04,67,110,89,10,58
2020-03-05,51,74,86,6,57
2020-03-06,59,78,86,10,42
2020-03-07,54,69,73,9,41
2020-03-08,70,84,65,14,42
2020-03-09,70,102,86,3,62
2020-03-10,50,93,86,31,47
2020-03-11,60,92,83,10,69
2020-03-12,65,90,78,10,52
2020-03-13,41,76,84,7,42
2020-03-14,29,51,54,1,32
2020-03-15,54,70,67,6,27
2020-03-16,55,108,101,10,53
2020-03-17,50,80,70,6,42
2020-03-18,45,69,71,7,50
2020-03-19,59,101,57,4,75
2020-03-20,60,100,61,9,65
2020-03-21,36,63,43,9,27
2020-03-22,53,93,56,5,47
2020-03-23,64,102,98,12,90
2020-03-24,71,106,76,10,94
2020-03-25,64,98,70,10,85
2020-03-26,51,110,118,6,64
2020-03-27,43,58,57,3,60
2020-03-28,51,49,54,8,33
2020-03-29,50,71,60,3,45
2020-03-30,41,100,90,9,67
2020-03-31,65,100,52,7,72
2020-04-01,73,108,79,11,70
2020-04-02,58,91,70,5,78
2020-04-03,42,81,46,9,45
2020-04-04,51,67,64,2,41
2020-04-05,48,85,79,7,29
2020-04-06,50,89,73,3,34
2020-04-07,53,81,69,1,47
2020-04-08,52,66,61,7,36
2020-04-09,42,65,49,7,43
2020-04-10,48,58,36,3,33
2020-04-11,36,57,74,5,28
2020-04-12,43,83,68,5,43
2020-04-13,40,92,63,3,41
2020-04-14,78,82,84,4,82
2020-04-15,45,116,67,7,60
2020-04-16,68,92,61,3,57
2020-04-17,49,81,54,5,61
2020-04-18,48,71,56,9,25
2020-04-19,51,66,72,5,44
2020-04-20,61,94,59,10,46
2020-04-21,46,95,68,5,71
2020-04-22,56,100,57,10,73
2020-04-23,43,67,62,4,89
2020-04-24,57,74,35,4,58
2020-04-25,55,55,61,3,26
2020-04-26,48,85,55,7,37
2020-04-27,66,92,58,7,67
2020-04-28,56,79,94,8,66
2020-04-29,54,108,93,11,69
2020-04-30,44,70,53,7,43
2020-05-01,48,72,62,3,45
2020-05-02,41,71,49,7,38
2020-05-03,46,96,46,9,57
2020-05-04,63,134,92,1,65
2020-05-05,51,101,78,4,64
2020-05-06,62,99,86,6,101
2020-05-07,53,122,62,9,55
2020-05-08,54,116,69,7,50
2020-05-09,35,73,57,4,36
2020-05-10,61,88,64,6,45
2020-05-11,72,105,64,22,70
2020-05-12,55,109,64,15,72
2020-05-13,57,120,53,19,77
2020-05-14,57,119,51,8,51
2020-05-15,55,113,53,15,41
2020-05-16,48,83,37,5,47
2020-05-17,69,81,66,7,38
2020-05-18,83,109,59,7,41
2020-05-19,60,107,48,8,64
2020-05-20,67,92,56,11,53
2020-05-21,43,82,51,5,34
2020-05-22,63,64,33,4,36
2020-05-23,137,93,32,3,33
2020-05-24,154,98,38,2,44
2020-05-25,70,128,60,7,53
2020-05-26,57,112,51,5,72
2020-05-27,71,101,51,10,62
2020-05-28,74,100,48,8,55
2020-05-29,58,100,57,9,53
2020-05-30,56,87,40,7,28
2020-05-31,44,79,52,6,29
2020-06-01,62,73,57,8,40
2020-06-02,48,85,44,1,51
2020-06-03,52,85,37,9,58
2020-06-04,58,89,34,8,53
2020-06-05,53,79,23,7,40
2020-06-06,62,131,24,12,32
2020-06-07,44,99,38,8,30
2020-06-08,53,75,24,2,50
2020-06-09,60,71,42,2,36
2020-06-10,40,88,15,3,34
2020-06-11,69,77,30,4,25
2020-06-12,71,71,18,4,30
2020-06-13,60,76,43,1,30
2020-06-14,66,59,25,1,45
2020-06-15,53,61,23,3,23
2020-06-16,33,74,29,5,33
2020-06-17,53,68,21,1,21
2020-06-18,50,63,25,6,19
2020-06-19,33,53,21,3,14
2020-06-20,49,52,10,2,15
2020-06-21,68,59,23,4,24
2020-06-22,51,69,23,6,32
2020-06-23,55,73,13,0,22
2020-06-24,43,86,40,6,11
2020-06-25,42,65,32,2,23
2020-06-26,39,57,28,7,11
2020-06-27,28,53,22,3,24
2020-06-28,36,71,32,4,30
2020-06-29,54,64,31,9,30
2020-06-30,47,67,36,5,17
2020-07-01,61,48,25,5,20
2020-07-02,56,83,29,7,20
2020-07-03,43,81,22,1,13
2020-07-04,53,72,30,6,21
2020-07-05,51,86,26,5,24
2020-07-06,57,80,25,7,30
2020-07-07,47,64,29,2,22
2020-07-08,61,78,26,6,35
2020-07-09,43,64,20,6,28
2020-07-10,54,87,25,6,25
2020-07-11,39,73,30,8,28
2020-07-12,51,81,18,2,21
2020-07-13,51,56,33,2,16
2020-07-14,45,72,19,1,28
2020-07-15,52,80,34,2,30
2020-07-16,38,56,32,6,20
2020-07-17,47,67,28,8,27
2020-07-18,50,38,25,7,16
2020-07-19,53,94,33,10,21
2020-07-20,62,89,34,5,36
2020-07-21,69,89,51,7,17
2020-07-22,56,73,43,4,27
2020-07-23,49,81,37,3,37
2020-07-24,86,76,35,8,25
2020-07-25,62,82,38,3,13
2020-07-26,91,64,41,4,30
2020-07-27,83,65,38,7,24
2020-07-28,93,97,66,7,24
2020-07-29,67,81,36,7,21
2020-07-30,68,70,54,7,34
2020-07-31,58,66,37,5,27
2020-08-01,47,66,28,1,24
2020-08-02,49,76,36,8,24
2020-08-03,51,63,40,8,38
2020-08-04,65,68,31,2,24
2020-08-05,59,80,21,7,15
2020-08-06,55,75,22,8,27
2020-08-07,61,62,23,11,32
2020-08-08,45,62,27,3,20
2020-08-09,71,90,19,5,25
2020-08-10,62,63,26,8,23
2020-08-11,60,63,36,5,25
2020-08-12,64,74,31,7,15
2020-08-13,67,59,15,6,26
2020-08-14,59,66,20,5,37
2020-08-15,52,60,49,5,35
2020-08-16,71,78,85,2,25
2020-08-17,71,76,46,13,31
2020-08-18,83,78,42,2,35
2020-08-19,69,73,46,8,35
2020-08-20,62,81,39,3,26
2020-08-21,53,77,275,8,23
2020-08-22,49,75,84,4,27
2020-08-23,57,74,77,4,34
2020-08-24,72,89,61,5,29
2020-08-25,59,80,59,4,43
2020-08-26,63,102,45,12,30
2020-08-27,71,75,52,9,36
2020-08-28,59,104,29,15,28
2020-08-29,79,69,31,5,30
2020-08-30,70,78,31,8,29
2020-08-31,63,77,24,5,35
