Date,"Ångest","Depression","Sömnlöshet","Ensamhet","Stress"
2019-01-01,132,103,136,6,61
2019-01-02,114,118,153,2,44
2019-01-03,136,161,197,11,52
2019-01-04,124,147,157,8,61
2019-01-05,106,149,152,12,49
2019-01-06,140,173,170,21,43
2019-01-07,137,148,249,11,59
2019-01-08,132,157,266,11,71
2019-01-09,139,171,247,11,81
2019-01-10,152,188,217,12,63
2019-01-11,106,140,142,6,81
2019-01-12,104,117,116,2,58
2019-01-13,140,154,146,11,80
2019-01-14,139,172,178,7,83
2019-01-15,114,165,178,7,83
2019-01-16,130,171,188,14,71
2019-01-17,119,150,144,13,70
2019-01-18,76,127,126,10,58
2019-01-19,101,111,95,8,51
2019-01-20,117,129,103,21,71
2019-01-21,105,146,167,14,74
2019-01-22,121,154,135,13,58
2019-01-23,164,179,131,18,77
2019-01-24,111,125,136,15,73
2019-01-25,104,140,101,6,49
2019-01-26,100,107,81,12,51
2019-01-27,123,141,97,12,47
2019-01-28,142,162,132,18,74
2019-01-29,134,156,126,10,61
2019-01-30,129,159,121,11,90
2019-01-31,103,145,91,9,61
2019-02-01,97,109,98,11,47
2019-02-02,110,100,85,3,38
2019-02-03,96,132,109,8,64
2019-02-04,110,145,112,12,74
2019-02-05,111,161,116,14,51
2019-02-06,109,138,111,14,70
2019-02-07,92,170,230,10,57
2019-02-08,112,122,106,10,73
2019-02-09,99,114,85,3,50
2019-02-10,120,121,76,4,71
2019-02-11,113,148,108,11,64
2019-02-12,111,188,76,21,88
2019-02-13,114,197,118,5,61
2019-02-14,86,170,112,23,53
2019-02-15,85,126,105,9,56
2019-02-16,108,106,99,9,44
2019-02-17,104,129,110,21,42
2019-02-18,106,132,110,12,69
2019-02-19,152,172,101,26,76
2019-02-20,102,133,102,6,47
2019-02-21,106,159,110,4,60
2019-02-22,80,121,82,12,50
2019-02-23,88,100,79,9,43
2019-02-24,114,133,95,12,48
2019-02-25,126,165,103,9,68
2019-02-26,130,147,115,7,51
2019-02-27,137,138,91,12,75
2019-02-28,124,117,84,12,58
2019-03-01,87,122,78,13,87
2019-03-02,109,105,70,8,43
2019-03-03,103,143,99,16,61
2019-03-04,115,185,105,12,80
2019-03-05,123,154,136,15,63
2019-03-06,109,159,124,9,89
2019-03-07,115,163,104,10,84
2019-03-08,77,140,89,4,51
2019-03-09,77,89,99,11,47
2019-03-10,114,113,101,10,64
2019-03-11,96,137,145,6,69
2019-03-12,87,137,111,26,76
2019-03-13,103,184,125,11,77
2019-03-14,100,166,127,9,73
2019-03-15,96,137,101,3,58
2019-03-16,79,91,81,5,42
2019-03-17,106,155,91,14,65
2019-03-18,137,131,104,11,81
2019-03-19,109,141,122,8,73
2019-03-20,100,190,113,13,77
2019-03-21,117,147,96,8,64
2019-03-22,98,140,93,8,50
2019-03-23,85,92,96,12,49
2019-03-24,102,131,84,9,51
2019-03-25,126,132,95,8,82
2019-03-26,109,146,107,4,74
2019-03-27,109,166,109,11,77
2019-03-28,99,180,97,7,67
2019-03-29,93,129,71,4,45
2019-03-30,101,105,60,8,41
2019-03-31,111,105,98,7,48
2019-04-01,119,156,106,13,65
2019-04-02,110,181,115,16,64
2019-04-03,95,146,131,8,67
2019-04-04,104,148,101,6,70
2019-04-05,97,126,98,7,59
2019-04-06,75,123,86,4,42
2019-04-07,119,125,86,8,50
2019-04-08,113,148,115,13,75
2019-04-09,109,149,100,16,69
2019-04-10,107,161,124,6,80
2019-04-11,113,170,87,8,64
2019-04-12,88,130,80,15,58
2019-04-13,83,95,86,7,43
2019-04-14,93,116,100,8,32
2019-04-15,103,142,75,5,49
2019-04-16,87,133,97,4,52
2019-04-17,116,122,78,9,52
2019-04-18,94,95,66,5,48
2019-04-19,117,93,60,14,28
2019-04-20,84,87,66,10,38
2019-04-21,104,135,69,9,42
2019-04-22,102,106,69,6,53
2019-04-23,128,182,98,5,61
2019-04-24,125,149,114,11,56
2019-04-25,98,157,90,7,64
2019-04-26,108,138,82,10,43
2019-04-27,74,89,82,9,28
2019-04-28,130,115,85,10,53
2019-04-29,121,151,109,8,85
2019-04-30,123,121,80,10,63
2019-05-01,108,121,76,3,52
2019-05-02,125,151,98,8,74
2019-05-03,105,142,73,12,60
2019-05-04,90,100,77,5,29
2019-05-05,122,125,80,5,69
2019-05-06,106,181,103,9,70
2019-05-07,132,186,92,13,83
2019-05-08,111,147,87,12,74
2019-05-09,113,156,105,8,82
2019-05-10,98,165,66,12,54
2019-05-11,95,97,74,14,42
2019-05-12,120,124,87,14,68
2019-05-13,109,159,114,11,76
2019-05-14,119,185,111,5,73
2019-05-15,108,175,112,13,84
2019-05-16,97,164,110,15,71
2019-05-17,81,152,92,8,62
2019-05-18,72,111,74,4,42
2019-05-19,105,139,83,9,43
2019-05-20,115,170,94,11,78
2019-05-21,125,153,117,10,85
2019-05-22,92,140,161,11,81
2019-05-23,87,152,132,5,71
2019-05-24,100,132,99,5,73
2019-05-25,76,108,87,8,47
2019-05-26,103,146,69,4,56
2019-05-27,113,182,96,8,68
2019-05-28,111,153,87,6,74
2019-05-29,98,133,98,2,63
2019-05-30,72,118,66,9,83
2019-05-31,81,117,82,3,55
