Date,"Stress","Ansia","Disturbo depressivo","Insonnia","Solitudine"
2019-05-25,107,273,434,158,68
2019-05-26,130,269,448,152,79
2019-05-27,157,323,500,177,61
2019-05-28,158,316,545,184,72
2019-05-29,196,304,528,152,67
2019-05-30,188,284,518,160,56
2019-05-31,146,309,482,145,51
2019-06-01,140,258,406,135,70
2019-06-02,119,257,420,170,72
2019-06-03,189,298,510,200,55
2019-06-04,171,311,690,225,60
2019-06-05,186,308,845,255,63
2019-06-06,188,225,755,234,45
2019-06-07,156,254,643,206,55
2019-06-08,116,208,584,193,58
2019-06-09,136,266,626,197,82
2019-06-10,201,278,715,262,69
2019-06-11,165,254,762,254,63
2019-06-12,159,289,661,251,59
2019-06-13,165,264,619,233,59
2019-06-14,112,235,598,228,45
2019-06-15,91,235,502,240,71
2019-06-16,106,308,629,196,72
2019-06-17,111,314,633,250,78
2019-06-18,147,366,628,260,78
2019-06-19,153,335,579,277,58
2019-06-20,137,318,615,243,54
2019-06-21,148,286,535,242,64
2019-06-22,95,242,543,203,49
2019-06-23,89,268,538,243,75
2019-06-24,123,364,607,299,54
2019-06-25,155,327,1849,289,50
2019-06-26,132,323,589,220,54
2019-06-27,163,299,1799,219,55
2019-06-28,122,251,476,226,41
2019-06-29,115,177,469,222,58
2019-06-30,72,224,540,235,59
2019-07-01,129,272,527,273,47
2019-07-02,143,292,599,239,52
2019-07-03,124,255,469,286,60
2019-07-04,116,269,510,222,55
2019-07-05,147,248,524,202,64
2019-07-06,119,235,405,206,61
2019-07-07,104,256,458,206,65
2019-07-08,107,281,564,249,58
2019-07-09,130,296,515,232,52
2019-07-10,142,290,520,267,963
2019-07-11,132,245,520,234,188
2019-07-12,124,248,523,189,61
2019-07-13,94,235,482,217,87
2019-07-14,97,260,536,219,91
2019-07-15,126,265,506,274,77
2019-07-16,106,110,544,274,68
2019-07-17,123,203,522,263,52
2019-07-18,116,269,522,259,58
2019-07-19,99,220,514,198,64
2019-07-20,78,197,471,181,79
2019-07-21,85,220,512,290,72
2019-07-22,94,283,518,268,67
2019-07-23,108,240,506,254,75
2019-07-24,136,267,559,241,75
2019-07-25,138,266,469,223,72
2019-07-26,98,265,465,226,68
2019-07-27,83,236,407,277,75
2019-07-28,106,242,476,237,93
2019-07-29,90,278,488,284,85
2019-07-30,100,268,548,199,68
2019-07-31,107,302,495,233,91
2019-08-01,113,227,473,252,67
2019-08-02,79,259,508,204,53
2019-08-03,63,207,501,219,54
2019-08-04,88,217,471,204,96
2019-08-05,96,220,555,246,68
2019-08-06,113,251,523,254,58
2019-08-07,115,310,509,267,41
2019-08-08,96,247,459,263,55
2019-08-09,80,234,454,236,64
2019-08-10,97,200,401,225,82
2019-08-11,62,233,435,220,80
2019-08-12,81,256,421,263,83
2019-08-13,106,249,487,268,68
2019-08-14,89,181,420,227,79
2019-08-15,74,216,421,213,77
2019-08-16,95,239,498,232,88
2019-08-17,80,243,461,226,68
2019-08-18,75,250,480,236,77
2019-08-19,85,266,523,268,72
2019-08-20,74,270,498,243,77
2019-08-21,95,256,544,225,63
2019-08-22,84,259,600,268,61
2019-08-23,91,296,513,260,54
2019-08-24,84,302,457,248,61
2019-08-25,115,311,542,236,91
2019-08-26,121,286,624,273,60
2019-08-27,152,323,574,297,74
2019-08-28,155,331,622,288,63
2019-08-29,148,343,590,343,72
2019-08-30,126,299,550,299,81
2019-08-31,95,308,516,267,61
2019-09-01,128,318,577,231,82
2019-09-02,147,375,618,317,61
2019-09-03,133,363,617,283,72
2019-09-04,140,286,561,250,62
2019-09-05,113,296,579,277,61
2019-09-06,96,273,426,198,40
2019-09-07,101,258,457,181,61
2019-09-08,106,280,481,179,62
2019-09-09,129,282,575,197,68
2019-09-10,137,343,678,192,69
2019-09-11,136,309,607,189,84
2019-09-12,162,383,594,197,80
2019-09-13,91,323,601,182,59
2019-09-14,87,273,488,171,65
2019-09-15,94,344,529,169,79
2019-09-16,150,337,574,188,62
2019-09-17,183,292,615,209,74
2019-09-18,163,320,620,209,67
2019-09-19,191,285,629,180,51
2019-09-20,179,289,582,184,66
2019-09-21,110,227,479,124,56
2019-09-22,112,274,558,176,72
2019-09-23,141,284,618,198,77
2019-09-24,176,291,611,173,78
2019-09-25,182,287,512,201,54
2019-09-26,138,269,455,137,66
2019-09-27,112,253,453,145,70
2019-09-28,104,216,377,122,64
2019-09-29,101,232,434,132,68
2019-09-30,111,260,502,125,58
2019-10-01,105,270,495,174,74
2019-10-02,158,274,436,167,58
2019-10-03,113,262,479,171,78
2019-10-04,136,228,474,140,53
2019-10-05,99,197,435,129,67
2019-10-06,85,214,426,149,70
2019-10-07,112,239,465,174,78
2019-10-08,129,235,504,185,78
2019-10-09,168,248,552,174,104
2019-10-10,139,248,520,135,65
2019-10-11,136,236,452,127,60
2019-10-12,117,228,425,117,68
2019-10-13,102,233,553,150,69
2019-10-14,154,283,659,175,56
2019-10-15,149,245,597,172,85
2019-10-16,108,292,495,201,95
2019-10-17,118,269,480,176,63
2019-10-18,139,232,453,160,70
2019-10-19,100,200,435,131,86
2019-10-20,85,266,487,126,89
2019-10-21,141,278,543,154,118
2019-10-22,152,250,572,214,94
2019-10-23,159,229,476,176,68
2019-10-24,166,267,517,181,79
2019-10-25,114,250,473,185,75
2019-10-26,100,200,428,145,75
2019-10-27,111,216,582,170,78
2019-10-28,133,299,562,160,144
2019-10-29,141,250,502,157,92
2019-10-30,133,233,495,161,99
2019-10-31,80,213,384,130,69
2019-11-01,99,199,445,128,56
2019-11-02,99,209,407,113,50
2019-11-03,123,283,483,122,97
2019-11-04,180,273,482,155,84
2019-11-05,142,277,486,157,84
2019-11-06,135,309,555,166,68
2019-11-07,152,348,453,227,82
2019-11-08,126,237,449,145,52
2019-11-09,111,191,425,132,58
2019-11-10,130,222,462,133,65
2019-11-11,119,264,477,149,69
2019-11-12,154,244,508,166,113
2019-11-13,136,257,449,199,93
2019-11-14,141,253,497,193,72
2019-11-15,122,235,395,141,79
2019-11-16,115,234,414,151,79
2019-11-17,127,257,485,138,72
2019-11-18,160,306,520,177,82
2019-11-19,132,279,509,147,109
2019-11-20,144,259,482,172,95
2019-11-21,134,259,464,158,62
2019-11-22,119,264,465,181,68
2019-11-23,74,234,416,134,86
2019-11-24,96,229,557,155,76
2019-11-25,111,309,542,167,69
2019-11-26,159,320,505,195,78
2019-11-27,137,264,518,156,51
2019-11-28,126,297,486,143,59
2019-11-29,125,226,429,143,71
2019-11-30,84,205,443,155,42
2019-12-01,91,283,429,143,70
2019-12-02,131,277,531,149,68
2019-12-03,131,263,549,162,78
2019-12-04,141,232,534,176,105
2019-12-05,127,233,524,181,72
2019-12-06,141,208,435,176,47
2019-12-07,87,187,427,130,51
2019-12-08,114,222,552,152,72
2019-12-09,131,225,577,147,96
2019-12-10,148,214,483,156,72
2019-12-11,128,229,474,145,75
2019-12-12,224,186,464,132,61
2019-12-13,110,195,405,128,64
2019-12-14,89,163,356,125,52
2019-12-15,85,193,448,143,68
2019-12-16,138,222,474,134,73
2019-12-17,127,254,438,154,80
2019-12-18,106,232,425,169,77
2019-12-19,114,219,454,142,88
2019-12-20,100,178,405,144,66
2019-12-21,101,152,391,127,58
2019-12-22,85,181,332,126,52
2019-12-23,88,175,377,152,51
2019-12-24,53,126,345,125,47
2019-12-25,52,131,307,107,55
2019-12-26,71,173,408,122,66
2019-12-27,86,194,401,167,81
2019-12-28,53,188,381,150,53
2019-12-29,104,198,424,153,65
2019-12-30,98,183,394,163,61
2019-12-31,85,176,339,127,100
2020-01-01,75,175,365,147,75
2020-01-02,104,170,466,168,67
2020-01-03,91,231,455,213,51
2020-01-04,96,220,469,220,65
2020-01-05,89,258,569,217,73
2020-01-06,108,292,605,220,72
2020-01-07,133,221,589,254,76
2020-01-08,116,246,481,246,69
2020-01-09,130,253,517,254,59
2020-01-10,127,221,486,209,86
2020-01-11,82,205,394,161,66
2020-01-12,126,233,498,209,90
2020-01-13,120,248,576,240,96
2020-01-14,127,238,556,249,123
2020-01-15,130,247,599,237,65
2020-01-16,121,276,519,190,78
2020-01-17,146,233,489,134,75
2020-01-18,120,220,524,173,71
2020-01-19,132,272,534,165,70
2020-01-20,121,249,577,187,80
2020-01-21,174,280,704,207,79
2020-01-22,158,296,638,206,60
2020-01-23,211,302,613,217,75
2020-01-24,161,230,470,163,54
2020-01-25,123,217,503,153,75
2020-01-26,141,202,632,172,54
2020-01-27,157,224,629,182,62
2020-01-28,150,263,629,212,80
2020-01-29,147,260,547,210,54
2020-01-30,163,247,517,199,50
2020-01-31,120,213,501,151,42
2020-02-01,115,179,444,152,46
2020-02-02,104,228,619,172,42
2020-02-03,166,248,572,220,72
2020-02-04,183,240,543,204,66
2020-02-05,138,213,563,234,81
2020-02-06,137,222,479,189,48
2020-02-07,112,235,479,214,73
2020-02-08,103,182,398,155,59
2020-02-09,117,199,560,148,63
2020-02-10,115,229,577,203,91
2020-02-11,134,214,598,176,64
2020-02-12,135,236,596,187,76
2020-02-13,133,218,557,210,53
2020-02-14,113,191,519,203,65
2020-02-15,73,181,545,169,57
2020-02-16,104,208,589,182,58
2020-02-17,124,267,550,181,62
2020-02-18,136,236,590,190,125
2020-02-19,148,254,605,188,76
2020-02-20,142,253,537,186,67
2020-02-21,124,217,459,167,35
2020-02-22,89,226,406,130,54
2020-02-23,104,200,396,115,43
2020-02-24,126,161,358,117,51
2020-02-25,134,186,364,151,53
2020-02-26,108,219,459,193,47
2020-02-27,123,218,467,164,51
2020-02-28,126,199,418,153,50
2020-02-29,78,185,413,160,73
2020-03-01,83,217,489,194,82
2020-03-02,137,298,489,224,69
2020-03-03,141,256,490,223,85
2020-03-04,132,252,408,194,64
2020-03-05,113,201,448,180,44
2020-03-06,121,222,439,167,56
2020-03-07,94,191,400,151,68
2020-03-08,90,165,349,136,58
2020-03-09,114,201,425,195,69
2020-03-10,120,216,401,153,91
2020-03-11,131,266,386,177,89
2020-03-12,148,213,371,152,97
2020-03-13,140,195,389,176,88
2020-03-14,110,173,389,196,75
2020-03-15,119,231,400,241,108
2020-03-16,175,244,423,238,114
2020-03-17,141,216,428,258,102
2020-03-18,142,234,458,209,119
2020-03-19,142,219,464,194,90
2020-03-20,157,236,420,203,101
2020-03-21,136,248,434,173,104
2020-03-22,154,262,462,204,94
2020-03-23,179,247,437,219,119
2020-03-24,167,260,429,271,94
2020-03-25,174,284,453,201,116
2020-03-26,153,242,484,297,109
2020-03-27,172,205,425,249,120
2020-03-28,130,193,429,304,96
2020-03-29,165,246,503,393,106
2020-03-30,261,277,527,555,105
2020-03-31,223,260,501,484,135
2020-04-01,228,250,523,379,130
2020-04-02,196,290,635,310,91
2020-04-03,243,287,465,270,96
2020-04-04,163,296,461,241,102
2020-04-05,159,228,455,276,88
2020-04-06,211,323,537,284,122
2020-04-07,237,297,571,258,98
2020-04-08,200,227,513,277,94
2020-04-09,157,196,458,240,79
2020-04-10,135,263,415,241,74
2020-04-11,128,180,481,247,63
2020-04-12,108,204,472,207,97
2020-04-13,133,219,599,217,89
2020-04-14,156,246,623,241,105
2020-04-15,197,269,541,218,117
2020-04-16,214,330,509,202,123
2020-04-17,175,266,517,149,99
