Date,"Stress","Bezorgdheid","Eenzaamheid","Slapeloosheid","Depressie (klinisch)"
2019-02-27,112,9,43,54,183
2019-02-28,70,11,44,48,205
2019-03-01,69,8,21,33,139
2019-03-02,54,8,37,25,137
2019-03-03,56,8,40,37,179
2019-03-04,70,9,34,59,199
2019-03-05,77,8,20,44,201
2019-03-06,84,12,50,45,213
2019-03-07,109,13,25,46,181
2019-03-08,62,7,29,40,200
2019-03-09,65,13,24,27,144
2019-03-10,97,15,34,66,211
2019-03-11,96,10,29,70,224
2019-03-12,112,12,44,46,259
2019-03-13,88,17,25,45,225
2019-03-14,80,11,27,49,235
2019-03-15,64,18,31,34,202
2019-03-16,78,9,39,34,150
2019-03-17,76,18,48,34,236
2019-03-18,86,11,31,52,216
2019-03-19,95,13,28,34,225
2019-03-20,110,8,27,48,194
2019-03-21,106,13,26,35,198
2019-03-22,74,6,31,22,180
2019-03-23,56,9,22,26,140
2019-03-24,74,8,29,45,173
2019-03-25,125,13,31,41,214
2019-03-26,94,7,27,32,252
2019-03-27,94,18,18,27,198
2019-03-28,87,10,26,51,245
2019-03-29,71,8,23,25,175
2019-03-30,50,13,22,21,133
2019-03-31,57,15,40,39,170
2019-04-01,102,17,25,51,216
2019-04-02,111,9,27,52,223
2019-04-03,84,11,24,56,181
2019-04-04,105,13,25,42,203
2019-04-05,73,4,26,28,168
2019-04-06,49,7,30,40,152
2019-04-07,68,9,22,34,170
2019-04-08,88,14,34,46,200
2019-04-09,79,10,22,40,221
2019-04-10,89,12,26,46,222
2019-04-11,58,11,31,47,226
2019-04-12,68,11,19,28,165
2019-04-13,60,7,27,36,158
2019-04-14,73,9,35,39,149
2019-04-15,89,3,19,38,241
2019-04-16,61,14,26,37,197
2019-04-17,111,11,23,34,297
2019-04-18,66,9,41,42,190
2019-04-19,62,14,19,39,132
2019-04-20,70,11,21,26,117
2019-04-21,52,7,29,33,153
2019-04-22,63,11,21,24,173
2019-04-23,75,8,32,35,199
2019-04-24,94,11,39,46,178
2019-04-25,80,10,37,42,169
2019-04-26,57,12,17,50,176
2019-04-27,56,10,33,46,166
2019-04-28,78,13,32,32,154
2019-04-29,80,8,20,31,188
2019-04-30,79,17,34,40,179
2019-05-01,102,13,33,37,187
2019-05-02,69,12,38,31,204
2019-05-03,58,11,34,26,165
2019-05-04,55,12,33,31,145
2019-05-05,72,18,41,34,176
2019-05-06,94,13,22,34,201
2019-05-07,102,11,28,43,224
2019-05-08,98,12,42,29,189
2019-05-09,88,16,34,36,186
2019-05-10,72,15,35,29,192
2019-05-11,68,7,27,29,168
2019-05-12,72,12,33,27,174
2019-05-13,89,24,38,51,238
2019-05-14,107,12,38,42,195
2019-05-15,110,13,39,35,166
2019-05-16,99,13,32,46,210
2019-05-17,96,10,37,40,195
2019-05-18,73,9,28,31,136
2019-05-19,80,14,46,32,176
2019-05-20,105,13,41,42,220
2019-05-21,107,14,30,45,197
2019-05-22,106,16,29,47,195
2019-05-23,65,13,27,38,158
2019-05-24,58,10,31,43,152
2019-05-25,70,5,24,31,125
2019-05-26,67,6,18,43,229
2019-05-27,94,10,26,39,206
2019-05-28,107,10,34,39,225
2019-05-29,69,10,36,40,138
2019-05-30,75,18,42,42,134
2019-05-31,81,10,30,41,118
2019-06-01,59,9,27,29,133
2019-06-02,75,9,42,27,186
2019-06-03,112,16,32,47,200
2019-06-04,105,17,30,35,213
2019-06-05,84,19,19,61,195
2019-06-06,97,10,29,52,174
2019-06-07,90,9,26,57,198
2019-06-08,63,11,33,33,164
2019-06-09,60,13,41,35,177
2019-06-10,101,10,29,46,186
2019-06-11,102,15,40,49,243
2019-06-12,109,19,32,43,191
2019-06-13,107,11,35,287,245
2019-06-14,81,7,22,40,198
2019-06-15,109,13,26,39,148
2019-06-16,108,7,34,49,171
2019-06-17,106,12,29,77,238
2019-06-18,100,22,36,42,173
2019-06-19,95,17,24,59,222
2019-06-20,72,9,25,39,177
2019-06-21,74,10,21,41,155
2019-06-22,55,9,32,39,125
2019-06-23,58,7,28,50,163
2019-06-24,70,15,18,62,140
2019-06-25,59,10,28,38,160
2019-06-26,62,18,32,40,150
2019-06-27,68,10,33,53,167
2019-06-28,203,10,27,50,127
2019-06-29,46,8,24,42,138
2019-06-30,48,5,20,41,154
2019-07-01,81,10,23,56,187
2019-07-02,60,5,12,61,195
2019-07-03,74,9,19,73,175
2019-07-04,61,7,26,48,143
2019-07-05,64,19,20,38,138
2019-07-06,66,8,29,47,129
2019-07-07,68,10,20,51,142
2019-07-08,78,10,31,55,164
2019-07-09,77,16,36,49,163
2019-07-10,81,7,42,70,166
2019-07-11,73,9,20,61,133
2019-07-12,56,4,24,43,152
2019-07-13,52,13,21,51,168
2019-07-14,55,9,31,58,135
2019-07-15,66,14,27,66,149
2019-07-16,85,9,22,83,140
2019-07-17,56,15,33,65,165
2019-07-18,59,12,26,54,160
2019-07-19,52,9,21,56,137
2019-07-20,54,7,17,48,148
2019-07-21,43,14,15,60,159
2019-07-22,46,15,37,44,126
2019-07-23,68,11,19,65,145
2019-07-24,44,12,10,52,129
2019-07-25,42,6,29,29,112
2019-07-26,37,15,17,30,97
2019-07-27,36,11,16,49,116
2019-07-28,41,10,19,35,141
2019-07-29,71,16,28,48,173
2019-07-30,65,8,25,82,169
2019-07-31,66,14,21,65,139
2019-08-01,55,7,26,73,151
2019-08-02,54,13,29,77,134
2019-08-03,30,14,16,46,144
2019-08-04,45,7,29,80,152
2019-08-05,55,11,21,70,170
2019-08-06,49,10,28,75,136
2019-08-07,67,11,17,72,160
2019-08-08,70,13,24,59,152
2019-08-09,42,5,23,86,137
2019-08-10,49,9,21,62,150
2019-08-11,56,12,31,69,146
2019-08-12,65,12,21,66,196
2019-08-13,57,13,21,71,178
2019-08-14,67,14,17,69,148
2019-08-15,52,9,29,59,161
2019-08-16,58,14,19,56,140
2019-08-17,58,13,19,66,141
2019-08-18,62,7,33,51,161
2019-08-19,66,18,29,73,174
2019-08-20,81,15,16,74,179
2019-08-21,61,17,22,72,175
2019-08-22,55,15,17,60,155
2019-08-23,52,10,15,54,157
2019-08-24,66,12,29,40,118
2019-08-25,73,10,34,47,169
2019-08-26,69,16,27,64,174
2019-08-27,81,21,23,70,158
2019-08-28,60,11,19,57,176
2019-08-29,95,13,29,50,161
2019-08-30,52,10,20,45,170
2019-08-31,48,13,33,34,139
2019-09-01,65,9,21,50,148
2019-09-02,75,10,23,40,189
2019-09-03,83,18,15,68,221
2019-09-04,89,22,46,70,164
2019-09-05,78,27,38,58,167
2019-09-06,65,9,30,43,136
2019-09-07,52,10,16,31,126
2019-09-08,64,11,22,57,172
2019-09-09,63,10,51,45,164
2019-09-10,116,16,26,50,153
2019-09-11,106,11,29,56,234
2019-09-12,110,9,42,46,177
2019-09-13,89,9,31,44,217
2019-09-14,68,14,27,40,158
2019-09-15,74,8,21,47,164
2019-09-16,133,9,33,75,198
2019-09-17,118,22,19,56,174
2019-09-18,134,9,28,47,193
2019-09-19,128,30,22,50,205
2019-09-20,124,13,20,66,166
2019-09-21,63,10,30,44,152
2019-09-22,72,18,28,52,180
2019-09-23,170,19,38,61,201
2019-09-24,126,8,35,63,207
2019-09-25,80,6,32,58,230
2019-09-26,78,19,33,64,171
2019-09-27,83,15,27,58,149
2019-09-28,80,8,24,36,140
2019-09-29,75,30,27,64,196
2019-09-30,99,17,31,55,228
2019-10-01,93,19,38,59,188
2019-10-02,115,94,46,75,216
2019-10-03,88,24,45,57,195
2019-10-04,96,14,41,58,170
2019-10-05,71,6,28,50,137
2019-10-06,82,12,43,58,211
2019-10-07,113,17,26,66,209
2019-10-08,119,18,43,71,211
2019-10-09,110,12,46,83,230
2019-10-10,93,15,27,51,227
2019-10-11,75,16,23,67,227
2019-10-12,44,8,22,39,166
2019-10-13,65,7,24,52,197
2019-10-14,93,19,32,63,255
2019-10-15,119,7,29,63,254
2019-10-16,102,11,46,88,229
2019-10-17,107,15,38,75,180
2019-10-18,98,14,16,71,192
2019-10-19,64,6,23,50,159
2019-10-20,75,17,35,60,172
2019-10-21,103,20,39,70,238
2019-10-22,114,12,31,48,196
2019-10-23,116,15,32,78,236
2019-10-24,76,14,34,61,183
2019-10-25,97,7,23,56,178
2019-10-26,65,8,30,54,142
2019-10-27,83,19,45,48,235
2019-10-28,96,14,41,83,196
2019-10-29,104,21,44,46,193
2019-10-30,106,14,33,46,206
2019-10-31,98,17,20,43,188
2019-11-01,90,10,34,45,175
2019-11-02,53,15,29,29,168
2019-11-03,73,11,39,46,245
2019-11-04,115,21,34,64,248
2019-11-05,104,15,23,58,207
2019-11-06,97,14,56,51,193
2019-11-07,103,23,32,49,183
2019-11-08,69,14,31,46,160
2019-11-09,58,9,19,43,156
2019-11-10,98,17,33,50,166
2019-11-11,119,18,32,78,205
2019-11-12,120,21,25,62,203
2019-11-13,112,19,29,56,207
2019-11-14,78,8,50,59,186
2019-11-15,73,17,27,53,175
2019-11-16,78,19,26,45,180
2019-11-17,80,18,41,38,182
2019-11-18,98,22,38,75,221
2019-11-19,96,17,29,55,248
2019-11-20,86,21,52,73,196
2019-11-21,98,21,48,58,218
2019-11-22,86,8,42,47,185
2019-11-23,61,15,31,34,139
2019-11-24,76,16,41,38,184
2019-11-25,100,15,36,69,213
2019-11-26,112,10,23,68,231
2019-11-27,87,15,46,45,231
2019-11-28,117,11,41,39,204
2019-11-29,83,9,27,43,191
2019-11-30,73,13,22,27,159
2019-12-01,83,18,41,56,180
2019-12-02,130,17,40,61,223
2019-12-03,98,11,25,46,215
2019-12-04,101,20,32,50,181
2019-12-05,99,8,30,60,191
2019-12-06,93,11,35,40,206
2019-12-07,54,20,33,40,235
2019-12-08,67,23,35,53,232
2019-12-09,105,13,35,49,227
2019-12-10,106,28,33,41,232
2019-12-11,86,14,32,48,227
2019-12-12,93,18,33,36,210
2019-12-13,80,22,34,49,198
2019-12-14,62,20,23,47,170
2019-12-15,73,14,37,55,199
2019-12-16,96,14,31,62,189
2019-12-17,89,18,35,50,187
2019-12-18,85,11,36,49,171
2019-12-19,116,21,13,42,184
2019-12-20,55,8,22,40,136
2019-12-21,39,8,27,52,127
2019-12-22,73,14,25,45,153
2019-12-23,82,15,23,52,175
2019-12-24,42,12,25,31,118
2019-12-25,46,8,24,42,174
2019-12-26,49,16,30,44,129
2019-12-27,67,12,35,53,184
2019-12-28,71,9,26,69,171
2019-12-29,55,8,27,62,166
2019-12-30,65,16,20,46,157
2019-12-31,50,8,28,60,125
2020-01-01,63,17,36,52,152
2020-01-02,73,14,23,66,165
2020-01-03,75,14,42,68,184
2020-01-04,69,17,29,67,158
2020-01-05,113,25,41,55,279
2020-01-06,77,19,21,81,200
2020-01-07,160,19,22,88,237
2020-01-08,142,26,50,60,227
2020-01-09,137,12,50,73,193
2020-01-10,95,12,36,63,210
2020-01-11,78,22,25,53,137
2020-01-12,103,21,29,48,180
2020-01-13,115,17,36,77,232
2020-01-14,165,19,43,78,208
2020-01-15,144,19,37,77,217
2020-01-16,108,12,42,68,211
2020-01-17,121,14,20,68,171
2020-01-18,82,21,32,92,152
2020-01-19,101,20,30,64,212
2020-01-20,167,14,32,71,270
2020-01-21,138,10,56,61,253
2020-01-22,120,20,31,72,270
2020-01-23,93,14,28,62,205
2020-01-24,107,20,32,55,187
2020-01-25,72,12,27,49,151
2020-01-26,98,7,16,44,164
2020-01-27,140,16,30,76,228
2020-01-28,141,12,27,64,230
2020-01-29,140,14,31,69,242
2020-01-30,95,7,26,66,250
2020-01-31,104,10,33,43,165
2020-02-01,57,6,20,48,121
2020-02-02,66,15,34,62,206
2020-02-03,121,13,29,43,186
2020-02-04,95,13,22,54,205
2020-02-05,105,10,28,36,201
2020-02-06,127,13,28,49,213
2020-02-07,83,14,19,46,172
2020-02-08,52,14,28,35,150
2020-02-09,78,12,32,38,221
2020-02-10,117,8,29,42,194
2020-02-11,105,8,35,46,180
2020-02-12,120,15,29,43,205
2020-02-13,105,13,27,51,179
2020-02-14,96,11,24,55,186
2020-02-15,86,11,17,28,197
2020-02-16,94,14,24,58,203
2020-02-17,93,14,35,46,217
2020-02-18,104,11,21,46,230
2020-02-19,102,5,39,49,199
2020-02-20,103,12,21,52,185
2020-02-21,87,16,30,33,161
2020-02-22,69,8,15,40,138
2020-02-23,93,19,30,28,193
2020-02-24,76,11,17,39,173
2020-02-25,74,12,24,47,208
2020-02-26,108,5,16,33,210
2020-02-27,94,14,27,67,238
2020-02-28,70,13,28,34,192
2020-02-29,54,7,26,35,197
2020-03-01,102,12,36,42,212
2020-03-02,95,20,42,59,205
2020-03-03,103,11,27,66,236
2020-03-04,96,12,35,46,219
2020-03-05,107,11,49,33,238
2020-03-06,77,15,16,35,173
2020-03-07,58,8,28,31,151
2020-03-08,81,16,29,46,172
2020-03-09,105,10,49,47,202
2020-03-10,86,11,39,34,248
2020-03-11,98,14,32,44,231
2020-03-12,89,12,16,39,183
2020-03-13,63,7,18,18,127
2020-03-14,52,7,16,15,126
2020-03-15,55,7,27,19,135
2020-03-16,59,12,25,31,141
2020-03-17,98,9,21,21,172
2020-03-18,79,10,24,43,171
2020-03-19,85,8,30,32,173
2020-03-20,104,13,40,27,136
2020-03-21,63,8,38,21,123
2020-03-22,74,8,24,26,131
2020-03-23,103,12,33,29,163
2020-03-24,92,6,27,41,204
2020-03-25,113,16,44,37,142
2020-03-26,106,9,29,33,175
2020-03-27,94,10,41,28,162
2020-03-28,72,15,48,29,158
2020-03-29,79,9,51,31,196
2020-03-30,141,14,42,33,179
2020-03-31,101,14,41,37,168
2020-04-01,102,12,50,40,155
2020-04-02,83,4,45,45,209
2020-04-03,78,22,53,29,159
2020-04-04,60,10,39,29,159
2020-04-05,60,13,37,29,149
2020-04-06,82,11,43,39,222
2020-04-07,88,11,28,41,175
2020-04-08,70,12,44,49,202
2020-04-09,93,9,42,33,205
2020-04-10,66,11,43,34,148
2020-04-11,54,6,24,26,148
2020-04-12,55,15,51,22,141
2020-04-13,69,13,48,35,176
2020-04-14,95,10,36,40,182
2020-04-15,92,8,34,26,147
2020-04-16,74,19,43,38,153
2020-04-17,100,10,27,20,145
2020-04-18,60,15,41,35,205
2020-04-19,84,8,44,30,219
2020-04-20,104,16,35,36,208
2020-04-21,89,14,33,33,169
2020-04-22,76,6,38,28,174
2020-04-23,88,16,33,31,170
2020-04-24,100,10,30,28,188
2020-04-25,57,9,25,39,150
2020-04-26,58,11,25,32,154
2020-04-27,81,9,42,29,155
2020-04-28,94,25,26,41,176
2020-04-29,101,15,35,36,163
2020-04-30,89,11,45,29,173
2020-05-01,68,11,32,44,159
2020-05-02,68,13,30,42,176
2020-05-03,72,12,28,42,197
2020-05-04,114,23,38,36,179
2020-05-05,72,10,36,36,171
2020-05-06,104,20,29,32,162
2020-05-07,79,11,30,39,184
2020-05-08,89,15,31,34,135
2020-05-09,81,12,28,39,135
2020-05-10,96,13,43,31,149
2020-05-11,118,16,27,36,185
2020-05-12,86,15,33,46,169
2020-05-13,106,8,32,46,170
2020-05-14,104,13,33,25,159
2020-05-15,79,18,48,31,167
2020-05-16,54,10,51,32,141
2020-05-17,75,7,27,26,153
2020-05-18,81,16,39,36,178
2020-05-19,62,13,31,41,148
2020-05-20,82,11,15,26,136
2020-05-21,48,10,27,16,103
2020-05-22,65,18,33,39,115
2020-05-23,66,17,31,38,110
2020-05-24,96,12,26,28,151
2020-05-25,93,17,41,34,133
2020-05-26,72,11,21,23,148
2020-05-27,78,17,40,30,157
2020-05-28,68,18,21,42,126
2020-05-29,83,2,24,32,132
2020-05-30,53,6,23,21,96
2020-05-31,61,15,23,23,84
2020-06-01,65,12,24,24,106
2020-06-02,64,19,23,33,144
2020-06-03,69,13,25,32,118
2020-06-04,113,14,56,38,120
2020-06-05,59,11,24,23,129
2020-06-06,66,10,14,31,109
2020-06-07,68,6,55,33,133
2020-06-08,109,6,22,32,140
2020-06-09,86,19,19,32,130
2020-06-10,77,19,28,40,134
2020-06-11,75,14,24,20,141
2020-06-12,64,10,23,36,135
2020-06-13,51,10,25,35,102
2020-06-14,75,10,31,43,163
2020-06-15,97,20,20,42,243
2020-06-16,73,10,27,35,166
2020-06-17,83,11,25,33,119
2020-06-18,80,13,34,29,143
2020-06-19,70,11,32,40,167
2020-06-20,73,11,28,26,141
2020-06-21,61,4,37,46,192
2020-06-22,79,6,22,51,193
2020-06-23,97,10,20,42,160
2020-06-24,89,16,11,32,135
2020-06-25,60,6,19,35,168
2020-06-26,95,7,16,30,141
2020-06-27,61,11,21,26,148
2020-06-28,50,9,15,41,163
2020-06-29,86,9,16,31,163
2020-06-30,74,15,26,31,138
2020-07-01,63,12,46,54,166
2020-07-02,68,20,17,38,168
2020-07-03,47,8,20,36,161
2020-07-04,55,9,20,33,138
2020-07-05,56,10,21,32,148
2020-07-06,58,13,18,46,181
2020-07-07,64,13,23,42,167
2020-07-08,61,8,22,33,166
2020-07-09,62,13,13,28,168
2020-07-10,47,12,9,40,159
2020-07-11,38,7,21,18,145
2020-07-12,25,8,23,29,151
2020-07-13,52,13,15,37,154
2020-07-14,53,13,12,19,202
2020-07-15,47,8,10,38,208
2020-07-16,54,6,18,19,145
2020-07-17,44,8,11,28,143
2020-07-18,42,9,13,25,120
2020-07-19,45,14,23,27,126
2020-07-20,55,8,20,33,143
2020-07-21,52,9,13,41,183
2020-07-22,50,14,17,42,190
2020-07-23,48,16,14,35,185
2020-07-24,44,10,14,18,141
2020-07-25,46,12,14,32,140
2020-07-26,49,10,14,18,156
2020-07-27,53,6,13,32,177
2020-07-28,37,6,11,30,171
2020-07-29,49,11,13,37,141
2020-07-30,40,6,17,22,117
2020-07-31,29,4,16,20,106
2020-08-01,39,8,10,28,139
2020-08-02,51,12,16,20,144
2020-08-03,47,9,16,41,200
2020-08-04,38,7,9,29,156
2020-08-05,36,5,19,26,145
2020-08-06,37,9,23,21,165
2020-08-07,31,7,10,17,146
2020-08-08,40,3,19,14,221
2020-08-09,43,4,16,20,187
2020-08-10,37,8,10,24,164
2020-08-11,53,16,20,15,159
2020-08-12,37,7,12,23,162
2020-08-13,25,8,11,17,133
2020-08-14,42,15,16,18,132
2020-08-15,38,15,22,19,166
2020-08-16,38,2,23,23,157
2020-08-17,36,9,13,19,156
2020-08-18,51,17,17,24,166
2020-08-19,56,13,17,29,182
2020-08-20,46,5,11,32,156
2020-08-21,58,5,27,35,144
2020-08-22,40,9,11,22,115
2020-08-23,44,6,11,25,184
2020-08-24,67,8,27,23,192
2020-08-25,66,13,18,22,174
2020-08-26,52,7,12,21,148
2020-08-27,52,14,19,19,153
2020-08-28,51,5,14,22,135
2020-08-29,69,11,8,17,148
2020-08-30,62,9,31,24,173
2020-08-31,55,11,15,41,156
