Date,"Stress","Bezorgdheid","Eenzaamheid","Slapeloosheid","Depressie (klinisch)"
2019-01-01,32,5,54,23,180
2019-01-02,82,14,28,43,198
2019-01-03,65,13,25,41,199
2019-01-04,80,15,29,60,190
2019-01-05,74,5,23,41,197
2019-01-06,86,19,37,45,206
2019-01-07,94,16,34,90,235
2019-01-08,147,15,33,85,239
2019-01-09,130,18,27,48,227
2019-01-10,141,8,40,43,246
2019-01-11,74,9,22,40,191
2019-01-12,55,6,23,33,202
2019-01-13,80,8,45,47,246
2019-01-14,212,12,39,62,260
2019-01-15,133,9,16,84,234
2019-01-16,108,11,29,53,220
2019-01-17,91,15,27,68,223
2019-01-18,83,4,24,38,184
2019-01-19,61,7,31,30,169
2019-01-20,88,17,35,47,203
2019-01-21,96,11,28,57,227
2019-01-22,89,18,35,78,259
2019-01-23,92,9,21,46,191
2019-01-24,81,8,31,288,230
2019-01-25,66,13,20,335,191
2019-01-26,68,16,14,135,125
2019-01-27,80,15,29,163,204
2019-01-28,88,13,28,137,229
2019-01-29,107,9,57,118,182
2019-01-30,85,10,26,130,189
2019-01-31,144,12,22,92,209
2019-02-01,70,5,24,83,168
2019-02-02,83,8,34,71,148
2019-02-03,81,9,35,59,163
2019-02-04,103,9,35,93,199
2019-02-05,81,12,37,62,206
2019-02-06,94,10,37,57,167
2019-02-07,98,4,29,59,193
2019-02-08,78,10,24,34,147
2019-02-09,67,10,33,20,147
2019-02-10,66,11,25,41,172
2019-02-11,98,10,43,48,219
2019-02-12,69,13,34,45,213
2019-02-13,96,9,29,37,198
2019-02-14,85,14,22,43,188
2019-02-15,49,6,35,50,160
2019-02-16,58,5,30,37,135
2019-02-17,67,7,31,42,178
2019-02-18,83,12,37,48,202
2019-02-19,87,3,28,43,188
2019-02-20,77,9,31,24,210
2019-02-21,102,9,25,43,201
2019-02-22,70,12,22,42,149
2019-02-23,64,11,29,27,123
2019-02-24,65,8,38,31,162
2019-02-25,70,7,38,80,179
2019-02-26,69,9,25,107,165
