Date,"Stress","Ångest","Depression","Sömnlöshet","Ensamhet"
2020-01-01,38,107,86,95,14
2020-01-02,46,124,88,145,4
2020-01-03,38,88,122,168,9
2020-01-04,39,85,108,151,8
2020-01-05,45,113,95,140,9
2020-01-06,65,111,96,172,10
2020-01-07,38,88,103,214,8
2020-01-08,54,92,99,207,8
2020-01-09,49,78,102,231,12
2020-01-10,38,97,96,165,9
2020-01-11,28,72,66,112,8
2020-01-12,46,89,104,119,9
2020-01-13,64,114,91,201,14
2020-01-14,40,95,118,173,6
2020-01-15,56,117,120,184,17
2020-01-16,68,89,126,123,8
2020-01-17,64,76,96,103,17
2020-01-18,33,88,89,93,9
2020-01-19,43,72,84,101,12
2020-01-20,45,105,100,133,6
2020-01-21,63,86,108,134,14
2020-01-22,61,72,100,130,8
2020-01-23,61,81,114,101,6
2020-01-24,43,88,113,107,16
2020-01-25,33,62,98,69,7
2020-01-26,40,67,83,94,9
2020-01-27,73,87,132,110,10
2020-01-28,82,95,111,119,10
2020-01-29,66,78,121,87,6
2020-01-30,54,83,112,105,7
2020-01-31,44,62,78,110,5
2020-02-01,26,69,74,77,5
2020-02-02,42,78,97,83,7
2020-02-03,58,72,102,99,8
2020-02-04,50,71,104,89,6
2020-02-05,69,59,81,67,8
2020-02-06,42,59,117,93,7
2020-02-07,41,46,81,63,6
2020-02-08,37,34,90,65,13
2020-02-09,54,67,95,76,10
2020-02-10,55,60,93,79,6
2020-02-11,83,69,90,102,8
2020-02-12,187,119,521,103,8
2020-02-13,50,65,86,73,11
2020-02-14,29,54,85,47,7
2020-02-15,33,58,88,44,11
2020-02-16,40,54,86,60,12
2020-02-17,47,74,107,67,10
2020-02-18,47,73,79,69,5
2020-02-19,54,76,86,60,6
2020-02-20,57,50,72,49,4
2020-02-21,47,57,67,57,6
2020-02-22,33,50,78,75,10
2020-02-23,40,72,85,65,3
2020-02-24,53,82,119,97,6
2020-02-25,48,72,90,72,7
2020-02-26,40,99,115,62,9
2020-02-27,34,78,96,82,2
2020-02-28,35,46,77,53,3
2020-02-29,29,53,71,54,5
2020-03-01,35,76,101,89,12
2020-03-02,49,88,94,77,12
2020-03-03,65,79,77,76,10
2020-03-04,58,67,110,89,10
2020-03-05,57,51,74,86,6
2020-03-06,42,59,78,86,10
2020-03-07,41,54,69,73,9
2020-03-08,42,70,84,65,14
2020-03-09,62,70,102,86,3
2020-03-10,47,50,93,86,31
2020-03-11,69,60,92,83,10
2020-03-12,52,65,90,78,10
2020-03-13,42,41,76,84,7
2020-03-14,32,29,51,54,1
2020-03-15,27,54,70,67,6
2020-03-16,53,55,108,101,10
2020-03-17,42,50,80,70,6
2020-03-18,50,45,69,71,7
2020-03-19,75,59,101,57,4
2020-03-20,65,60,100,61,9
2020-03-21,27,36,63,43,9
2020-03-22,47,53,93,56,5
2020-03-23,90,64,102,98,12
2020-03-24,94,71,106,76,10
2020-03-25,85,64,98,70,10
2020-03-26,64,51,110,118,6
2020-03-27,60,43,58,57,3
2020-03-28,33,51,49,54,8
2020-03-29,45,50,71,60,3
2020-03-30,67,41,100,90,9
2020-03-31,72,65,100,52,7
2020-04-01,70,73,108,79,11
2020-04-02,78,58,91,70,5
2020-04-03,45,42,81,46,9
2020-04-04,41,51,67,64,2
2020-04-05,29,48,85,79,7
2020-04-06,34,50,89,73,3
2020-04-07,47,53,81,69,1
2020-04-08,36,52,66,61,7
2020-04-09,43,42,65,49,7
2020-04-10,33,48,58,36,3
2020-04-11,28,36,57,74,5
2020-04-12,43,43,83,68,5
2020-04-13,41,40,92,63,3
2020-04-14,82,78,82,84,4
2020-04-15,60,45,116,67,7
2020-04-16,57,68,92,61,3
2020-04-17,61,49,81,54,5
2020-04-18,25,48,71,56,9
2020-04-19,44,51,66,72,5
2020-04-20,46,61,94,59,10
2020-04-21,71,46,95,68,5
2020-04-22,73,56,100,57,10
2020-04-23,89,43,67,62,4
2020-04-24,58,57,74,35,4
2020-04-25,26,55,55,61,3
2020-04-26,37,48,85,55,7
2020-04-27,67,66,92,58,7
2020-04-28,66,56,79,94,8
2020-04-29,69,54,108,93,11
2020-04-30,43,44,70,53,7
2020-05-01,45,48,72,62,3
2020-05-02,38,41,71,49,7
2020-05-03,57,46,96,46,9
2020-05-04,65,63,134,92,1
2020-05-05,64,51,101,78,4
2020-05-06,101,62,99,86,6
2020-05-07,55,53,122,62,9
2020-05-08,50,54,116,69,7
2020-05-09,36,35,73,57,4
2020-05-10,45,61,88,64,6
2020-05-11,70,72,105,64,22
2020-05-12,72,55,109,64,15
2020-05-13,77,57,120,53,19
2020-05-14,51,57,119,51,8
2020-05-15,41,55,113,53,15
