Date,"Stress","Ångest","Depression","Sömnlöshet","Ensamhet"
2020-05-16,47,48,83,37,5
2020-05-17,38,69,81,66,7
2020-05-18,41,83,109,59,7
2020-05-19,64,60,107,48,8
2020-05-20,53,67,92,56,11
2020-05-21,34,43,82,51,5
2020-05-22,36,63,64,33,4
2020-05-23,33,137,93,32,3
2020-05-24,44,154,98,38,2
2020-05-25,53,70,128,60,7
2020-05-26,72,57,112,51,5
2020-05-27,62,71,101,51,10
2020-05-28,55,74,100,48,8
2020-05-29,53,58,100,57,9
2020-05-30,28,56,87,40,7
2020-05-31,29,44,79,52,6
2020-06-01,40,62,73,57,8
2020-06-02,51,48,85,44,1
2020-06-03,58,52,85,37,9
2020-06-04,53,58,89,34,8
2020-06-05,40,53,79,23,7
2020-06-06,32,62,131,24,12
2020-06-07,30,44,99,38,8
2020-06-08,50,53,75,24,2
2020-06-09,36,60,71,42,2
2020-06-10,34,40,88,15,3
2020-06-11,25,69,77,30,4
2020-06-12,30,71,71,18,4
2020-06-13,30,60,76,43,1
2020-06-14,45,66,59,25,1
2020-06-15,23,53,61,23,3
2020-06-16,33,33,74,29,5
2020-06-17,21,53,68,21,1
2020-06-18,19,50,63,25,6
2020-06-19,14,33,53,21,3
2020-06-20,15,49,52,10,2
2020-06-21,24,68,59,23,4
2020-06-22,32,51,69,23,6
2020-06-23,22,55,73,13,0
2020-06-24,11,43,86,40,6
2020-06-25,23,42,65,32,2
2020-06-26,11,39,57,28,7
2020-06-27,24,28,53,22,3
2020-06-28,30,36,71,32,4
2020-06-29,30,54,64,31,9
2020-06-30,17,47,67,36,5
2020-07-01,20,61,48,25,5
2020-07-02,20,56,83,29,7
2020-07-03,13,43,81,22,1
2020-07-04,21,53,72,30,6
2020-07-05,24,51,86,26,5
2020-07-06,30,57,80,25,7
2020-07-07,22,47,64,29,2
2020-07-08,35,61,78,26,6
2020-07-09,28,43,64,20,6
2020-07-10,25,54,87,25,6
2020-07-11,28,39,73,30,8
2020-07-12,21,51,81,18,2
2020-07-13,16,51,56,33,2
2020-07-14,28,45,72,19,1
2020-07-15,30,52,80,34,2
2020-07-16,20,38,56,32,6
2020-07-17,27,47,67,28,8
2020-07-18,16,50,38,25,7
2020-07-19,21,53,94,33,10
2020-07-20,36,62,89,34,5
2020-07-21,17,69,89,51,7
2020-07-22,27,56,73,43,4
2020-07-23,37,49,81,37,3
2020-07-24,25,86,76,35,8
2020-07-25,13,62,82,38,3
2020-07-26,30,91,64,41,4
2020-07-27,24,83,65,38,7
2020-07-28,24,93,97,66,7
2020-07-29,21,67,81,36,7
2020-07-30,34,68,70,54,7
2020-07-31,27,58,66,37,5
2020-08-01,24,47,66,28,1
2020-08-02,24,49,76,36,8
2020-08-03,38,51,63,40,8
2020-08-04,24,65,68,31,2
2020-08-05,15,59,80,21,7
2020-08-06,27,55,75,22,8
2020-08-07,32,61,62,23,11
2020-08-08,20,45,62,27,3
2020-08-09,25,71,90,19,5
2020-08-10,23,62,63,26,8
2020-08-11,25,60,63,36,5
2020-08-12,15,64,74,31,7
2020-08-13,26,67,59,15,6
2020-08-14,37,59,66,20,5
2020-08-15,35,52,60,49,5
2020-08-16,25,71,78,85,2
2020-08-17,31,71,76,46,13
2020-08-18,35,83,78,42,2
2020-08-19,35,69,73,46,8
2020-08-20,26,62,81,39,3
2020-08-21,23,53,77,275,8
2020-08-22,27,49,75,84,4
2020-08-23,34,57,74,77,4
2020-08-24,29,72,89,61,5
2020-08-25,43,59,80,59,4
2020-08-26,30,63,102,45,12
2020-08-27,36,71,75,52,9
2020-08-28,28,59,104,29,15
2020-08-29,30,79,69,31,5
2020-08-30,29,70,78,31,8
2020-08-31,35,63,77,24,5
