Date,"Lęk","Zaburzenia depresyjne","Bezsenność","Samotność","Stres"
2019-01-01,124,548,185,156,167
2019-01-02,120,729,269,129,281
2019-01-03,139,688,259,104,267
2019-01-04,119,626,197,71,260
2019-01-05,103,568,148,122,223
2019-01-06,129,588,192,184,263
2019-01-07,124,746,288,130,377
2019-01-08,136,712,235,103,371
2019-01-09,117,704,198,96,367
2019-01-10,114,715,193,133,404
2019-01-11,84,581,154,74,426
2019-01-12,116,553,148,92,335
2019-01-13,156,689,168,121,368
2019-01-14,128,720,170,115,465
2019-01-15,137,754,167,117,395
2019-01-16,131,668,172,82,427
2019-01-17,109,832,139,89,381
2019-01-18,90,636,127,102,331
2019-01-19,112,564,114,104,299
2019-01-20,118,691,137,127,312
2019-01-21,116,855,161,95,381
2019-01-22,140,738,151,103,503
2019-01-23,132,690,134,97,389
2019-01-24,151,662,118,102,359
2019-01-25,120,579,130,81,299
2019-01-26,166,579,100,100,336
2019-01-27,176,732,132,87,328
2019-01-28,152,678,161,109,345
2019-01-29,124,728,140,84,350
2019-01-30,126,715,178,94,326
2019-01-31,112,630,126,90,318
2019-02-01,112,548,146,93,252
2019-02-02,95,482,118,83,289
2019-02-03,147,572,144,105,292
2019-02-04,126,661,179,134,282
2019-02-05,124,662,145,86,217
2019-02-06,142,598,131,92,277
2019-02-07,117,623,130,74,265
2019-02-08,124,530,128,81,228
2019-02-09,109,504,136,72,196
2019-02-10,128,547,135,109,216
2019-02-11,124,654,153,89,262
2019-02-12,111,587,149,115,187
2019-02-13,136,633,149,92,199
2019-02-14,135,526,139,89,200
2019-02-15,89,466,112,78,213
2019-02-16,126,398,107,82,162
2019-02-17,100,537,123,129,188
2019-02-18,101,587,123,111,193
2019-02-19,103,644,93,105,258
2019-02-20,82,660,114,102,198
2019-02-21,117,613,113,99,219
2019-02-22,92,571,96,80,178
2019-02-23,100,658,92,78,201
2019-02-24,96,620,101,140,269
2019-02-25,110,682,120,98,238
2019-02-26,101,673,117,117,226
2019-02-27,91,649,95,110,232
2019-02-28,107,576,109,96,222
2019-03-01,96,525,100,67,245
2019-03-02,84,493,111,61,160
2019-03-03,123,609,103,114,216
2019-03-04,101,671,137,101,257
2019-03-05,113,656,121,79,250
2019-03-06,92,678,132,104,238
2019-03-07,116,595,105,82,201
2019-03-08,79,509,93,80,160
2019-03-09,86,478,81,71,135
2019-03-10,121,568,118,86,205
2019-03-11,120,629,111,124,211
2019-03-12,126,625,99,103,246
2019-03-13,129,637,106,107,258
2019-03-14,120,696,117,116,241
2019-03-15,116,690,180,68,206
2019-03-16,117,616,126,94,183
2019-03-17,134,667,175,133,243
2019-03-18,124,819,177,129,297
2019-03-19,143,774,171,127,283
2019-03-20,176,700,134,97,259
2019-03-21,133,733,135,77,256
2019-03-22,117,624,246,83,219
2019-03-23,103,551,121,97,233
2019-03-24,124,671,162,128,240
2019-03-25,113,767,144,121,330
2019-03-26,137,867,157,126,350
2019-03-27,147,769,148,96,409
2019-03-28,140,793,160,114,331
2019-03-29,117,703,121,56,261
2019-03-30,114,640,136,79,174
2019-03-31,122,751,268,131,315
2019-04-01,131,819,177,106,338
2019-04-02,156,743,170,107,341
2019-04-03,143,791,170,114,355
2019-04-04,146,770,145,146,301
2019-04-05,100,617,115,90,268
2019-04-06,98,510,127,85,165
2019-04-07,150,517,156,109,204
2019-04-08,151,760,122,62,220
2019-04-09,123,779,140,90,230
2019-04-10,127,858,131,87,233
2019-04-11,122,755,141,96,231
2019-04-12,136,566,104,75,156
2019-04-13,116,557,131,97,169
2019-04-14,128,585,128,86,173
2019-04-15,122,728,125,91,200
2019-04-16,96,633,113,66,251
2019-04-17,158,635,122,62,195
2019-04-18,136,559,120,71,128
2019-04-19,135,468,97,70,78
2019-04-20,105,393,99,81,83
2019-04-21,93,457,101,74,113
2019-04-22,142,453,109,82,102
2019-04-23,151,596,144,88,170
2019-04-24,155,613,127,70,172
2019-04-25,142,538,115,80,188
2019-04-26,122,512,112,80,203
2019-04-27,109,561,114,97,165
2019-04-28,144,598,169,89,174
2019-04-29,124,646,196,76,234
2019-04-30,112,530,135,72,159
2019-05-01,106,440,126,77,141
2019-05-02,143,519,128,71,129
2019-05-03,153,571,157,75,175
2019-05-04,107,545,148,59,152
2019-05-05,170,705,188,76,231
2019-05-06,164,723,185,114,252
2019-05-07,154,735,206,98,231
2019-05-08,173,727,180,98,303
2019-05-09,168,696,145,109,267
2019-05-10,156,727,119,75,220
2019-05-11,147,585,106,82,187
2019-05-12,180,786,203,96,287
2019-05-13,162,885,175,89,318
2019-05-14,168,864,166,108,413
2019-05-15,157,780,165,93,369
2019-05-16,163,776,149,110,322
2019-05-17,156,684,142,75,262
2019-05-18,122,637,129,89,203
2019-05-19,179,748,143,92,266
2019-05-20,187,801,129,96,291
2019-05-21,158,829,166,93,365
2019-05-22,155,848,170,111,427
2019-05-23,126,776,159,85,378
2019-05-24,122,725,158,89,240
2019-05-25,91,616,136,68,243
2019-05-26,131,718,123,108,333
2019-05-27,162,901,180,83,361
2019-05-28,158,897,153,89,533
2019-05-29,157,986,168,88,422
2019-05-30,145,866,134,90,384
2019-05-31,140,688,93,65,300
2019-06-01,95,628,111,61,193
2019-06-02,125,800,127,95,336
2019-06-03,140,908,127,66,431
2019-06-04,139,892,138,68,471
2019-06-05,180,870,136,98,440
2019-06-06,134,1011,117,88,409
2019-06-07,108,815,114,75,249
2019-06-08,116,741,124,92,265
2019-06-09,128,955,127,77,254
2019-06-10,133,910,153,79,349
2019-06-11,129,947,146,65,353
2019-06-12,125,834,134,59,272
2019-06-13,116,756,135,54,226
2019-06-14,112,680,112,79,213
2019-06-15,111,601,106,50,149
2019-06-16,123,668,125,81,187
2019-06-17,141,662,141,37,204
2019-06-18,129,703,101,48,221
2019-06-19,105,580,96,50,152
2019-06-20,106,623,94,77,182
2019-06-21,104,666,112,73,182
2019-06-22,90,530,110,66,182
2019-06-23,145,621,144,60,156
2019-06-24,142,678,129,42,180
2019-06-25,121,627,162,59,234
2019-06-26,130,655,155,53,198
2019-06-27,171,690,135,49,169
2019-06-28,106,592,131,54,178
2019-06-29,96,510,134,60,111
2019-06-30,84,558,140,67,170
2019-07-01,103,620,156,55,163
2019-07-02,95,655,150,36,135
2019-07-03,134,772,148,41,168
2019-07-04,79,687,122,59,129
2019-07-05,95,591,120,57,126
2019-07-06,81,509,95,57,106
2019-07-07,115,587,138,72,98
2019-07-08,128,639,133,56,113
2019-07-09,140,647,147,56,126
2019-07-10,125,640,143,46,128
2019-07-11,102,595,138,55,93
2019-07-12,109,539,120,50,112
2019-07-13,117,493,108,62,81
2019-07-14,139,556,128,74,105
2019-07-15,142,653,156,48,119
2019-07-16,124,647,141,67,125
2019-07-17,114,593,121,54,146
2019-07-18,110,546,103,72,115
2019-07-19,120,559,130,53,86
2019-07-20,88,502,119,56,67
2019-07-21,112,508,132,83,107
2019-07-22,110,557,119,73,88
2019-07-23,140,628,108,59,106
2019-07-24,126,679,144,49,88
2019-07-25,132,619,128,51,112
2019-07-26,107,549,139,60,78
2019-07-27,98,437,125,85,96
2019-07-28,110,525,103,70,76
2019-07-29,136,600,130,56,81
2019-07-30,107,640,115,67,106
2019-07-31,103,652,165,47,55
2019-08-01,118,623,153,50,82
2019-08-02,99,544,116,51,70
2019-08-03,93,472,123,40,63
2019-08-04,86,503,177,56,76
2019-08-05,170,639,175,45,87
2019-08-06,105,601,166,57,79
2019-08-07,109,603,133,46,88
2019-08-08,114,629,125,59,95
2019-08-09,133,552,130,55,67
2019-08-10,87,500,123,43,55
2019-08-11,102,561,127,59,75
2019-08-12,139,620,156,54,69
2019-08-13,117,676,130,43,83
2019-08-14,116,750,126,32,84
2019-08-15,111,553,103,55,62
2019-08-16,130,575,124,54,85
2019-08-17,89,500,96,55,59
2019-08-18,110,593,136,44,66
2019-08-19,106,667,140,40,91
2019-08-20,110,658,153,49,93
2019-08-21,136,649,140,52,86
2019-08-22,123,631,144,51,85
2019-08-23,126,590,143,29,90
2019-08-24,99,522,116,48,74
2019-08-25,103,602,123,43,88
2019-08-26,152,724,136,53,80
2019-08-27,147,712,164,58,115
2019-08-28,126,681,176,32,99
2019-08-29,130,672,139,52,103
2019-08-30,118,535,143,40,87
2019-08-31,115,450,111,45,62
2019-09-01,132,504,132,59,88
2019-09-02,149,561,154,36,140
2019-09-03,128,603,148,60,122
2019-09-04,120,617,121,75,109
2019-09-05,118,662,133,55,120
2019-09-06,103,414,79,37,95
2019-09-07,104,399,98,48,87
2019-09-08,147,584,158,65,141
2019-09-09,128,687,133,55,112
2019-09-10,129,689,126,81,148
2019-09-11,114,637,140,69,150
2019-09-12,149,617,121,78,157
2019-09-13,128,648,113,42,109
2019-09-14,119,609,95,69,120
2019-09-15,152,627,105,94,137
2019-09-16,133,792,118,81,152
2019-09-17,146,718,138,72,160
2019-09-18,131,719,117,57,174
2019-09-19,130,787,125,73,225
2019-09-20,138,691,106,33,158
2019-09-21,138,580,109,56,132
2019-09-22,139,640,99,100,137
2019-09-23,143,772,143,73,178
2019-09-24,148,842,123,61,188
2019-09-25,124,623,120,103,138
2019-09-26,143,579,112,111,180
2019-09-27,148,506,97,75,118
2019-09-28,96,445,81,74,103
2019-09-29,140,517,114,97,143
2019-09-30,133,618,91,95,158
2019-10-01,113,670,112,101,249
2019-10-02,113,675,103,91,153
2019-10-03,177,723,129,72,195
2019-10-04,126,590,91,84,135
2019-10-05,101,613,91,86,111
2019-10-06,137,619,125,89,161
2019-10-07,140,634,141,97,198
2019-10-08,147,686,143,90,170
2019-10-09,136,709,145,92,166
2019-10-10,150,788,122,88,170
2019-10-11,134,615,110,68,122
2019-10-12,123,530,97,65,113
2019-10-13,116,556,103,62,114
2019-10-14,128,661,128,121,172
2019-10-15,129,710,145,105,212
2019-10-16,123,726,136,111,241
2019-10-17,115,634,128,124,175
2019-10-18,112,555,116,102,165
2019-10-19,112,479,104,91,152
2019-10-20,130,633,142,168,243
2019-10-21,142,735,159,111,361
2019-10-22,140,700,138,119,245
2019-10-23,144,728,105,120,246
2019-10-24,131,672,118,112,230
2019-10-25,127,541,86,78,187
2019-10-26,109,482,107,97,150
2019-10-27,139,667,104,129,201
2019-10-28,141,705,94,129,258
2019-10-29,116,630,121,83,225
2019-10-30,127,597,113,93,184
2019-10-31,129,493,90,62,116
2019-11-01,102,456,76,56,84
2019-11-02,102,475,84,77,126
2019-11-03,163,591,118,87,189
2019-11-04,152,647,127,105,232
2019-11-05,173,708,148,125,237
2019-11-06,143,713,151,105,256
2019-11-07,143,643,110,78,186
2019-11-08,115,595,93,51,142
2019-11-09,119,625,95,44,90
2019-11-10,109,798,94,76,157
2019-11-11,148,740,122,95,198
2019-11-12,199,746,155,101,247
2019-11-13,160,745,139,87,270
2019-11-14,149,739,139,134,239
2019-11-15,123,640,107,78,203
2019-11-16,103,560,126,76,189
2019-11-17,151,765,124,116,238
2019-11-18,140,943,160,122,290
2019-11-19,132,804,144,101,303
2019-11-20,116,815,139,117,238
2019-11-21,107,829,113,110,242
2019-11-22,108,654,144,75,207
2019-11-23,108,504,107,101,170
2019-11-24,142,618,113,106,287
2019-11-25,126,678,182,128,248
2019-11-26,133,747,146,136,314
2019-11-27,117,745,143,122,317
2019-11-28,87,619,137,80,249
2019-11-29,97,536,127,65,215
2019-11-30,117,467,89,78,184
2019-12-01,158,614,89,113,251
2019-12-02,131,729,121,98,299
2019-12-03,132,671,128,85,257
2019-12-04,126,782,130,101,299
2019-12-05,128,736,137,84,287
2019-12-06,101,570,92,56,217
2019-12-07,119,546,124,77,188
2019-12-08,124,663,136,105,284
2019-12-09,170,733,166,102,280
2019-12-10,130,711,176,66,320
2019-12-11,116,616,134,82,326
2019-12-12,121,639,108,101,310
2019-12-13,132,552,118,55,258
2019-12-14,111,439,238,79,213
2019-12-15,133,566,126,91,264
2019-12-16,171,625,179,101,307
2019-12-17,122,650,145,93,328
2019-12-18,95,628,161,88,206
2019-12-19,108,542,130,61,147
2019-12-20,101,509,122,44,130
2019-12-21,87,405,107,45,105
2019-12-22,95,435,103,70,128
2019-12-23,88,459,102,52,75
2019-12-24,67,315,117,44,51
2019-12-25,103,432,118,71,80
2019-12-26,107,442,135,48,75
2019-12-27,105,493,203,72,124
2019-12-28,126,477,183,62,116
2019-12-29,137,501,289,70,111
2019-12-30,151,616,283,60,105
2019-12-31,100,436,179,61,61
2020-01-01,114,505,181,78,107
2020-01-02,133,669,286,63,171
2020-01-03,142,645,294,52,189
2020-01-04,140,598,235,62,192
2020-01-05,171,663,278,70,200
2020-01-06,157,766,264,97,284
2020-01-07,163,802,351,94,289
2020-01-08,133,802,281,63,293
2020-01-09,123,764,252,66,467
2020-01-10,104,590,226,55,260
2020-01-11,130,649,153,54,226
2020-01-12,158,608,193,58,305
2020-01-13,157,776,251,58,291
2020-01-14,138,845,182,69,302
2020-01-15,153,860,232,63,289
2020-01-16,110,862,156,54,334
2020-01-17,159,770,155,48,385
2020-01-18,131,674,185,58,315
2020-01-19,166,787,188,88,339
2020-01-20,166,1200,222,69,322
2020-01-21,152,968,171,71,362
2020-01-22,187,874,191,72,450
2020-01-23,156,844,190,87,343
2020-01-24,137,819,164,61,286
2020-01-25,111,807,153,59,253
2020-01-26,137,769,187,84,327
2020-01-27,130,881,187,70,348
2020-01-28,128,953,201,62,355
2020-01-29,151,983,166,63,371
2020-01-30,159,949,127,72,355
2020-01-31,127,764,140,46,240
2020-02-01,108,635,96,52,224
2020-02-02,155,651,169,105,285
2020-02-03,133,748,186,65,260
2020-02-04,139,788,127,67,300
2020-02-05,143,752,151,66,293
2020-02-06,107,741,182,71,296
2020-02-07,78,630,131,49,243
2020-02-08,105,617,100,67,227
2020-02-09,114,616,149,82,236
2020-02-10,120,745,160,70,239
2020-02-11,107,736,151,83,240
2020-02-12,125,746,156,66,244
2020-02-13,129,762,105,71,231
2020-02-14,94,597,113,59,157
2020-02-15,82,520,113,71,187
