Date,"Stress","Bezorgdheid","Eenzaamheid","Slapeloosheid","Depressie (klinisch)"
2020-01-01,63,17,36,52,152
2020-01-02,73,14,23,66,165
2020-01-03,75,14,42,68,184
2020-01-04,69,17,29,67,158
2020-01-05,113,25,41,55,279
2020-01-06,77,19,21,81,200
2020-01-07,160,19,22,88,237
2020-01-08,142,26,50,60,227
2020-01-09,137,12,50,73,193
2020-01-10,95,12,36,63,210
2020-01-11,78,22,25,53,137
2020-01-12,103,21,29,48,180
2020-01-13,115,17,36,77,232
2020-01-14,165,19,43,78,208
2020-01-15,144,19,37,77,217
2020-01-16,108,12,42,68,211
2020-01-17,121,14,20,68,171
2020-01-18,82,21,32,92,152
2020-01-19,101,20,30,64,212
2020-01-20,167,14,32,71,270
2020-01-21,138,10,56,61,253
2020-01-22,120,20,31,72,270
2020-01-23,93,14,28,62,205
2020-01-24,107,20,32,55,187
2020-01-25,72,12,27,49,151
2020-01-26,98,7,16,44,164
2020-01-27,140,16,30,76,228
2020-01-28,141,12,27,64,230
2020-01-29,140,14,31,69,242
2020-01-30,95,7,26,66,250
2020-01-31,104,10,33,43,165
2020-02-01,57,6,20,48,121
2020-02-02,66,15,34,62,206
2020-02-03,121,13,29,43,186
2020-02-04,95,13,22,54,205
2020-02-05,105,10,28,36,201
2020-02-06,127,13,28,49,213
2020-02-07,83,14,19,46,172
2020-02-08,52,14,28,35,150
2020-02-09,78,12,32,38,221
2020-02-10,117,8,29,42,194
2020-02-11,105,8,35,46,180
2020-02-12,120,15,29,43,205
2020-02-13,105,13,27,51,179
2020-02-14,96,11,24,55,186
2020-02-15,86,11,17,28,197
2020-02-16,94,14,24,58,203
2020-02-17,93,14,35,46,217
2020-02-18,104,11,21,46,230
2020-02-19,102,5,39,49,199
2020-02-20,103,12,21,52,185
2020-02-21,87,16,30,33,161
2020-02-22,69,8,15,40,138
2020-02-23,93,19,30,28,193
2020-02-24,76,11,17,39,173
2020-02-25,74,12,24,47,208
2020-02-26,108,5,16,33,210
2020-02-27,94,14,27,67,238
2020-02-28,70,13,28,34,192
2020-02-29,54,7,26,35,197
2020-03-01,102,12,36,42,212
2020-03-02,95,20,42,59,205
